Area,Value,Unit,Description,Sample,Stddev,Multiplex,Bottleneck,Idle
Frontend_Bound,3.9,% Slots <,,frontend_retired.latency_ge_4,0.0,74.0,,
Bad_Speculation,0.8,% Slots <,,,0.0,74.0,,
Backend_Bound,47.1,% Slots,,topdown.backend_bound_slots,0.0,74.0,<==,
Retiring,48.2,% Slots <,,uops_retired.slots,0.0,74.0,,
MUX,74.0,%,,,0.0,100.0,,
# 4.8-full-perf on INTEL(R) XEON(R) SILVER 4514Y [spr/sapphire_rapids]
