Area,Value,Unit,Description,Sample,Stddev,Multiplex,Bottleneck,Idle
Frontend_Bound,4.2,% Slots <,,frontend_retired.latency_ge_4,0.0,50.0,,
Bad_Speculation,1.2,% Slots <,,,0.0,50.0,,
Backend_Bound,65.9,% Slots,,topdown.backend_bound_slots,0.0,50.0,<==,
Retiring,28.7,% Slots <,,uops_retired.slots,0.0,50.0,,
MUX,50.0,%,,,0.0,100.0,,
# 4.8-full-perf on INTEL(R) XEON(R) SILVER 4514Y [spr/sapphire_rapids]
