Area,Value,Unit,Description,Sample,Stddev,Multiplex,Bottleneck,Idle
Frontend_Bound,13.1,% Slots <,,frontend_retired.latency_ge_4,0.0,81.0,,
Bad_Speculation,0.2,% Slots <,,,0.0,81.0,,
Backend_Bound,17.2,% Slots <,,topdown.backend_bound_slots,0.0,81.0,,
Retiring,69.5,% Slots <,,uops_retired.slots,0.0,81.0,,
MUX,81.0,%,,,0.0,100.0,,
# 4.8-full-perf on INTEL(R) XEON(R) SILVER 4514Y [spr/sapphire_rapids]
